#{"xlow": -2.0, "ylow": 0.0, "xhigh": 8.0, "yhigh": 7.0, "scale": 1}
1	-2 4.44444444 2.79887133 0.178781038	1.1 3.3 -0.5 1.5
2	2.83220339 0 2.79887133 0.178781038	-0.5 1.5 5.4 2.6
3	2.79887133 0.178781038 3.07192982 1.85614035	1.1 3.3 5.4 2.6
4	4.97313433 4.42835821 3.07192982 1.85614035	5.4 2.6 3.1 4.3
5	7.43333333 0 4.97313433 4.42835821	5.4 2.6 6.3 3.1
6	3.07192982 1.85614035 1.6 4.8	1.1 3.3 3.1 4.3
7	5.31132075 5.33018868 1.6 4.8	3.1 4.3 2.9 5.7
8	4.97313433 4.42835821 5.31132075 5.33018868	3.1 4.3 6.3 3.1
9	1.6 4.8 -1.33333333 7	1.1 3.3 2.9 5.7
10	5.31132075 5.33018868 6.58823529 7	2.9 5.7 6.3 3.1
